id,calories,proteins,fat,carbohydrate,name
397,126,4.2,9.4,6.2,Gulai kambing
398,110,5.9,8.2,3.2,Gulai keumamah masakan
399,143,4,11.4,6,Gulai pakis
400,176,7.3,14.9,3.2,Gulai pliek
401,132,9,7.2,7.8,Gulai tiram masakan
402,192,12.7,10.1,12.7,Gurame asem manis masakan
403,218,0.5,2.5,48.5,Gurandil
404,389,16.9,35,0.3,Ham
405,65,10,1,3.5,Hangop
406,134,19.7,4.8,1.7,Hati Babi
407,136,19.7,3.2,6,Hati Sapi
408,390,14.2,7.4,68.2,Havermout
409,127,1.2,0.5,29.5,Hofa/Ubi hutan segar
410,146,17.7,5.9,5.6,Ikan asar merah masakan
411,380,33.6,27.5,0,Ikan Asin bilis goreng
412,456,46.5,24.4,0,Ikan Asin gabus goreng
413,348,18.7,29.5,0,Ikan Asin japuh goreng
414,193,42,1.5,0,Ikan Asin kering
415,430,58.2,23.6,0,Ikan Asin pari goreng
416,652,40.4,54.3,0,Ikan Asin pepetek goreng
417,319,6.9,31.7,0,Ikan Asin sirinding goreng
418,430,33.4,32.4,0,Ikan Asin teri goreng
419,198,19,13,0,Ikan Bader (Tawes)
420,107,16.5,3.9,1.5,Ikan balong segar
421,112,20,1.3,3.7,Ikan bambangan segar
422,129,20,4.8,0,Ikan Bandeng
423,296,17.1,20.3,11.3,Ikan bandeng presto masakan
424,111,19.4,0.9,4.8,Ikan banjar segar
425,78,14.5,0.6,3.7,Ikan baronang segar
426,144,17.8,5.8,5.2,Ikan baung bakar
427,123,15.1,5.5,3.3,Ikan baung segar
428,96,19,1.7,0,Ikan Bawal
429,138,14,0.7,7.4,Ikan Bekasang
430,128,18,3,7.2,Ikan Belida bakar
431,80,14.7,1.4,2.2,Ikan Belida segar
432,417,25.9,19.4,32,Ikan Belut Segar goreng
433,82,6.7,1,10.9,Ikan Belut Segar mentah
434,66,14,0,0,Ikan Beunteur
435,90,14.9,2.5,2.1,Ikan biawan segar
436,88,14.2,0.7,6.2,Ikan bili segar
437,100,14.7,2.4,4.9,Ikan bubara segar
438,134,25.5,1.3,5,Ikan bulan-bulan segar
439,204,34.2,5.6,1.9,Ikan cakalang asap mentah
440,198,36.5,2.2,5.5,Ikan cakalang asin mentah
441,120,11.3,3.9,10,Ikan cakalang hati segar
442,116,11.2,1.2,10.2,Ikan cakalang jantung segar
443,86,10.2,1.1,8.7,Ikan cakalang perut segar
444,107,19.6,0.7,5.5,Ikan cakalang segar
445,81,11.4,1.9,3.8,Ikan calo/ peda mentah
446,101,11.5,4.1,4.6,Ikan daun segar
447,109,17,4,0,Ikan Ekor Kuning
448,261,38.1,2.3,21.9,Ikan Gabus asap mentah
449,292,58,4,0,Ikan Gabus kering
450,74,25.2,1.7,0,Ikan Gabus segar
451,267,23.1,19.4,0.2,Ikan gete goreng
452,101,10.3,3.7,6.7,Ikan hitam segar
453,298,46.3,3.6,20.2,Ikan hiu kering
454,57,10.7,0.3,2.2,Ikan hiu segar
455,77,15.6,0.9,1.6,Ikan kacangan segar
456,92,20,0.7,0,Ikan kakap segar
457,82,11.4,1.2,6.4,Ikan kakatua segar
458,132,17,6.7,0.8,Ikan kapar segar
459,162,31.7,2.8,0.3,Ikan katombo asin
460,110,12.6,4.2,5.4,Ikan kawalinya segar
461,302,70.7,1.9,0.4,Ikan kayu kering
462,103,22,1,0,Ikan Kembung
463,70,10.8,0.7,5.2,Ikan kima segar
464,147,17.5,6.5,5.4,Ikan Lais bakar
465,109,22,1.7,0,Ikan Layang
466,82,18,1,0.4,Ikan layur segar
467,90,20.4,0.9,0,Ikan lehoma segar
468,252,19.9,19.1,0,lele goreng
469,112,20,3,0,Ikan Lemuru
470,104,15.6,3.2,2,Ikan lidah segar
471,258,40.3,2.3,18.9,Ikan lomak asin mentah
472,99,20.6,1.4,0.9,Ikan malalugis segar
473,86,16,2,0,Ikan Mas
474,188,19.3,12.2,0,ikan goreng
475,209,15.2,11.3,11.8,Ikan Mas pepes
476,97,17.9,2,0.4,Ikan mayong segar
477,598,74.3,26.9,9.2,Ikan Mujair dendeng goreng
478,582,68.3,15.2,37.2,Ikan Mujair dendeng mentah
